"","uf","tipo_doenca","local_obito","faixa_etaria","sexo","total"
"410","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",24
"411","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",58
"412","MG","Outras doenças","VIA_PUBLICA","<= 39","F",13
"413","MG","Outras doenças","VIA_PUBLICA","<= 39","M",69
"414","MG","COVID-19","DOMICILIO","<= 39","F",1
"415","MG","COVID-19","DOMICILIO","<= 39","M",1
"416","MG","COVID-19","HOSPITAL","<= 39","F",11
"417","MG","COVID-19","HOSPITAL","<= 39","M",32
"418","MG","COVID-19","IGNORADO","<= 39","M",1
"419","MG","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","F",3
"420","MG","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",3
"421","MG","Outras doenças","DOMICILIO","<= 39","F",2
"422","MG","Outras doenças","DOMICILIO","<= 39","M",12
"423","MG","Outras doenças","HOSPITAL","<= 39","F",7
"424","MG","Outras doenças","HOSPITAL","<= 39","M",4
"425","MG","Outras doenças","IGNORADO","<= 39","F",2
"426","MG","Outras doenças","IGNORADO","<= 39","M",1
"427","MG","Outras doenças","OUTRO","<= 39","M",9
"428","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"429","MG","Outras doenças","VIA_PUBLICA","<= 39","M",4
"430","MG","Outras doenças respiratórias","DOMICILIO","<= 39","F",3
"431","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",3
"432","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",48
"433","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",36
"434","MG","Outras doenças respiratórias","IGNORADO","<= 39","F",2
"435","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",1
"436","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",7
"437","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",5
"438","MG","Outras doenças respiratórias","DOMICILIO","<= 39","F",2
"439","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",6
"440","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",49
"441","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",74
"442","MG","Outras doenças respiratórias","IGNORADO","<= 39","F",3
"443","MG","Outras doenças respiratórias","IGNORADO","<= 39","M",2
"444","MG","Outras doenças respiratórias","OUTRO","<= 39","M",1
"445","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"446","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",6
"447","MG","Outras doenças respiratórias","DOMICILIO","<= 39","M",2
"448","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",95
"449","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",96
"450","MG","Outras doenças respiratórias","IGNORADO","<= 39","F",3
"451","MG","Outras doenças respiratórias","OUTRO","<= 39","M",1
"452","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",2
"453","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",5
"454","MG","Outras doenças respiratórias","HOSPITAL","<= 39","F",2
"455","MG","Outras doenças respiratórias","HOSPITAL","<= 39","M",2
"456","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",3
"457","MS","Outras doenças","DOMICILIO","<= 39","F",10
"458","MS","Outras doenças","DOMICILIO","<= 39","M",24
"459","MS","Outras doenças","HOSPITAL","<= 39","F",30
"460","MS","Outras doenças","HOSPITAL","<= 39","M",59
"461","MS","Outras doenças","OUTRO","<= 39","M",10
"462","MS","Outras doenças","POSTO_SAUDE","<= 39","M",2
"463","MS","Outras doenças","VIA_PUBLICA","<= 39","F",2
"464","MS","Outras doenças","VIA_PUBLICA","<= 39","M",17
"465","MS","COVID-19","HOSPITAL","<= 39","F",5
"466","MS","COVID-19","HOSPITAL","<= 39","M",3
"467","MS","Outras doenças","DOMICILIO","<= 39","F",1
"468","MS","Outras doenças","DOMICILIO","<= 39","M",1
"469","MS","Outras doenças respiratórias","DOMICILIO","<= 39","M",2
"470","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",5
"471","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",11
"472","MS","Outras doenças respiratórias","OUTRO","<= 39","M",1
"473","MS","Outras doenças respiratórias","POSTO_SAUDE","<= 39","F",2
"474","MS","Outras doenças respiratórias","POSTO_SAUDE","<= 39","M",1
"475","MS","Outras doenças respiratórias","DOMICILIO","<= 39","M",2
"476","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",11
"477","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",16
"478","MS","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"479","MS","Outras doenças respiratórias","HOSPITAL","<= 39","F",14
"480","MS","Outras doenças respiratórias","HOSPITAL","<= 39","M",15
"481","RJ","Outras doenças","DOMICILIO","<= 39","F",64
"482","RJ","Outras doenças","DOMICILIO","<= 39","M",146
"483","RJ","Outras doenças","HOSPITAL","<= 39","F",315
"484","RJ","Outras doenças","HOSPITAL","<= 39","M",392
"485","RJ","Outras doenças","IGNORADO","<= 39","F",1
"486","RJ","Outras doenças","IGNORADO","<= 39","M",1
"487","RJ","Outras doenças","OUTRO","<= 39","F",16
"488","RJ","Outras doenças","OUTRO","<= 39","M",67
"489","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",55
"490","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",120
"491","RJ","Outras doenças","VIA_PUBLICA","<= 39","F",7
"492","RJ","Outras doenças","VIA_PUBLICA","<= 39","M",61
"493","RJ","COVID-19","DOMICILIO","<= 39","F",2
"494","RJ","COVID-19","DOMICILIO","<= 39","M",5
"495","RJ","COVID-19","HOSPITAL","<= 39","F",147
"496","RJ","COVID-19","HOSPITAL","<= 39","M",194
"497","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","F",26
"498","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","<= 39","M",25
"499","RJ","COVID-19","VIA_PUBLICA","<= 39","M",1
"500","RJ","Outras doenças","DOMICILIO","<= 39","M",4
"501","RJ","Outras doenças","HOSPITAL","<= 39","F",4
"502","RJ","Outras doenças","HOSPITAL","<= 39","M",6
"503","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","F",7
"504","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","<= 39","M",4
"505","RJ","Outras doenças","VIA_PUBLICA","<= 39","M",1
"506","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",1
"507","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",44
"508","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",45
"509","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",16
"510","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",13
"511","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","F",4
"512","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",9
"513","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",90
"514","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",131
"515","RJ","Outras doenças respiratórias","OUTRO","<= 39","F",1
"516","RJ","Outras doenças respiratórias","OUTRO","<= 39","M",1
"517","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",11
"518","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",27
"519","RJ","Outras doenças respiratórias","VIA_PUBLICA","<= 39","M",1
"520","RJ","Outras doenças respiratórias","DOMICILIO","<= 39","M",2
"521","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",121
"522","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",119
"523","RJ","Outras doenças respiratórias","IGNORADO","<= 39","F",1
"524","RJ","Outras doenças respiratórias","OUTRO","<= 39","M",1
"525","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","F",9
"526","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",10
"527","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","F",9
"528","RJ","Outras doenças respiratórias","HOSPITAL","<= 39","M",18
"529","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","<= 39","M",2
"530","DF","Outras doenças","DOMICILIO","40 - 79","F",12
"531","DF","Outras doenças","DOMICILIO","40 - 79","M",46
"532","DF","Outras doenças","HOSPITAL","40 - 79","F",101
"533","DF","Outras doenças","HOSPITAL","40 - 79","M",126
"534","DF","Outras doenças","OUTRO","40 - 79","F",3
"535","DF","Outras doenças","OUTRO","40 - 79","M",14
"536","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",2
"537","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",3
"538","DF","Outras doenças","VIA_PUBLICA","40 - 79","F",2
"539","DF","Outras doenças","VIA_PUBLICA","40 - 79","M",14
"540","DF","COVID-19","DOMICILIO","40 - 79","M",1
"541","DF","COVID-19","HOSPITAL","40 - 79","F",28
"542","DF","COVID-19","HOSPITAL","40 - 79","M",54
"543","DF","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","F",1
"544","DF","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","M",3
"545","DF","COVID-19","VIA_PUBLICA","40 - 79","M",1
"546","DF","Outras doenças","HOSPITAL","40 - 79","F",4
"547","DF","Outras doenças","HOSPITAL","40 - 79","M",4
"548","DF","Outras doenças","VIA_PUBLICA","40 - 79","M",1
"549","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","F",1
"550","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","M",2
"551","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","F",15
"552","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","M",13
"553","DF","Outras doenças respiratórias","OUTRO","40 - 79","M",2
"554","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",1
"555","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","F",23
"556","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","M",42
"557","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",1
"558","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","M",2
"559","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","F",36
"560","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","M",33
"561","DF","Outras doenças respiratórias","OUTRO","40 - 79","F",1
"562","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",3
"563","MG","Outras doenças","DOMICILIO","40 - 79","F",179
"564","MG","Outras doenças","DOMICILIO","40 - 79","M",385
"565","MG","Outras doenças","HOSPITAL","40 - 79","F",511
"566","MG","Outras doenças","HOSPITAL","40 - 79","M",610
"567","MG","Outras doenças","IGNORADO","40 - 79","F",13
"568","MG","Outras doenças","IGNORADO","40 - 79","M",37
"569","MG","Outras doenças","OUTRO","40 - 79","F",22
"570","MG","Outras doenças","OUTRO","40 - 79","M",74
"571","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",70
"572","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",107
"573","MG","Outras doenças","VIA_PUBLICA","40 - 79","F",18
"574","MG","Outras doenças","VIA_PUBLICA","40 - 79","M",80
"575","MG","COVID-19","DOMICILIO","40 - 79","M",4
"576","MG","COVID-19","HOSPITAL","40 - 79","F",34
"577","MG","COVID-19","HOSPITAL","40 - 79","M",55
"578","MG","COVID-19","IGNORADO","40 - 79","M",1
"579","MG","COVID-19","OUTRO","40 - 79","M",4
"580","MG","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","F",3
"581","MG","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","M",9
"582","MG","Outras doenças","DOMICILIO","40 - 79","F",10
"583","MG","Outras doenças","DOMICILIO","40 - 79","M",30
"584","MG","Outras doenças","HOSPITAL","40 - 79","F",2
"585","MG","Outras doenças","HOSPITAL","40 - 79","M",11
"586","MG","Outras doenças","IGNORADO","40 - 79","F",2
"587","MG","Outras doenças","IGNORADO","40 - 79","M",4
"588","MG","Outras doenças","OUTRO","40 - 79","F",2
"589","MG","Outras doenças","OUTRO","40 - 79","M",7
"590","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",3
"591","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",3
"592","MG","Outras doenças","VIA_PUBLICA","40 - 79","M",3
"593","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","F",15
"594","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","M",15
"595","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","F",83
"596","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","M",126
"597","MG","Outras doenças respiratórias","IGNORADO","40 - 79","F",2
"598","MG","Outras doenças respiratórias","IGNORADO","40 - 79","M",4
"599","MG","Outras doenças respiratórias","OUTRO","40 - 79","F",1
"600","MG","Outras doenças respiratórias","OUTRO","40 - 79","M",4
"601","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",11
"602","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",9
"603","MG","Outras doenças respiratórias","VIA_PUBLICA","40 - 79","M",2
"604","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","F",3
"605","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","M",2
"606","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","F",92
"607","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","M",179
"608","MG","Outras doenças respiratórias","IGNORADO","40 - 79","F",2
"609","MG","Outras doenças respiratórias","IGNORADO","40 - 79","M",5
"610","MG","Outras doenças respiratórias","OUTRO","40 - 79","M",1
"611","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",4
"612","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",7
"613","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","F",1
"614","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","F",193
"615","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","M",220
"616","MG","Outras doenças respiratórias","IGNORADO","40 - 79","F",6
"617","MG","Outras doenças respiratórias","IGNORADO","40 - 79","M",6
"618","MG","Outras doenças respiratórias","OUTRO","40 - 79","F",3
"619","MG","Outras doenças respiratórias","OUTRO","40 - 79","M",1
"620","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",12
"621","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",10
"622","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","F",1
"623","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","F",8
"624","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","M",6
"625","MG","Outras doenças respiratórias","OUTRO","40 - 79","M",1
"626","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",2
"627","MG","Outras doenças respiratórias","VIA_PUBLICA","40 - 79","M",1
"628","MS","Outras doenças","DOMICILIO","40 - 79","F",22
"629","MS","Outras doenças","DOMICILIO","40 - 79","M",51
"630","MS","Outras doenças","HOSPITAL","40 - 79","F",77
"631","MS","Outras doenças","HOSPITAL","40 - 79","M",96
"632","MS","Outras doenças","IGNORADO","40 - 79","M",1
"633","MS","Outras doenças","OUTRO","40 - 79","F",1
"634","MS","Outras doenças","OUTRO","40 - 79","M",9
"635","MS","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",1
"636","MS","Outras doenças","VIA_PUBLICA","40 - 79","F",3
"637","MS","Outras doenças","VIA_PUBLICA","40 - 79","M",17
"638","MS","COVID-19","HOSPITAL","40 - 79","F",6
"639","MS","COVID-19","HOSPITAL","40 - 79","M",2
"640","MS","COVID-19","OUTRO","40 - 79","M",1
"641","MS","Outras doenças","HOSPITAL","40 - 79","M",1
"642","MS","Outras doenças","OUTRO","40 - 79","M",1
"643","MS","Outras doenças","VIA_PUBLICA","40 - 79","M",1
"644","MS","Outras doenças respiratórias","DOMICILIO","40 - 79","F",6
"645","MS","Outras doenças respiratórias","DOMICILIO","40 - 79","M",2
"646","MS","Outras doenças respiratórias","HOSPITAL","40 - 79","F",16
"647","MS","Outras doenças respiratórias","HOSPITAL","40 - 79","M",21
"648","MS","Outras doenças respiratórias","OUTRO","40 - 79","F",1
"649","MS","Outras doenças respiratórias","HOSPITAL","40 - 79","F",33
"650","MS","Outras doenças respiratórias","HOSPITAL","40 - 79","M",53
"651","MS","Outras doenças respiratórias","POSTO_SAUDE","40 - 79","F",1
"652","MS","Outras doenças respiratórias","VIA_PUBLICA","40 - 79","M",1
"653","MS","Outras doenças respiratórias","HOSPITAL","40 - 79","F",33
"654","MS","Outras doenças respiratórias","HOSPITAL","40 - 79","M",41
"655","MS","Outras doenças respiratórias","OUTRO","40 - 79","M",1
"656","MS","Outras doenças respiratórias","POSTO_SAUDE","40 - 79","F",1
"657","RJ","Outras doenças","DOMICILIO","40 - 79","F",176
"658","RJ","Outras doenças","DOMICILIO","40 - 79","M",315
"659","RJ","Outras doenças","HOSPITAL","40 - 79","F",679
"660","RJ","Outras doenças","HOSPITAL","40 - 79","M",781
"661","RJ","Outras doenças","IGNORADO","40 - 79","F",2
"662","RJ","Outras doenças","IGNORADO","40 - 79","M",2
"663","RJ","Outras doenças","OUTRO","40 - 79","F",24
"664","RJ","Outras doenças","OUTRO","40 - 79","M",83
"665","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",179
"666","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",202
"667","RJ","Outras doenças","VIA_PUBLICA","40 - 79","F",5
"668","RJ","Outras doenças","VIA_PUBLICA","40 - 79","M",55
"669","RJ","COVID-19","DOMICILIO","40 - 79","F",7
"670","RJ","COVID-19","DOMICILIO","40 - 79","M",13
"671","RJ","COVID-19","HOSPITAL","40 - 79","F",271
"672","RJ","COVID-19","HOSPITAL","40 - 79","M",486
"673","RJ","COVID-19","OUTRO","40 - 79","F",2
"674","RJ","COVID-19","OUTRO","40 - 79","M",3
"675","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","F",59
"676","RJ","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","M",72
"677","RJ","Outras doenças","DOMICILIO","40 - 79","F",7
"678","RJ","Outras doenças","DOMICILIO","40 - 79","M",16
"679","RJ","Outras doenças","HOSPITAL","40 - 79","F",13
"680","RJ","Outras doenças","HOSPITAL","40 - 79","M",13
"681","RJ","Outras doenças","IGNORADO","40 - 79","M",1
"682","RJ","Outras doenças","OUTRO","40 - 79","M",3
"683","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",8
"684","RJ","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",9
"685","RJ","Outras doenças","VIA_PUBLICA","40 - 79","F",1
"686","RJ","Outras doenças","VIA_PUBLICA","40 - 79","M",2
"687","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","F",9
"688","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","M",7
"689","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","F",130
"690","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","M",108
"691","RJ","Outras doenças respiratórias","OUTRO","40 - 79","M",2
"692","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",28
"693","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",35
"694","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","F",10
"695","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","M",8
"696","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","F",158
"697","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","M",211
"698","RJ","Outras doenças respiratórias","IGNORADO","40 - 79","M",1
"699","RJ","Outras doenças respiratórias","OUTRO","40 - 79","F",1
"700","RJ","Outras doenças respiratórias","OUTRO","40 - 79","M",1
"701","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",26
"702","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",51
"703","RJ","Outras doenças respiratórias","VIA_PUBLICA","40 - 79","M",3
"704","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","F",2
"705","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","M",3
"706","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","F",228
"707","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","M",213
"708","RJ","Outras doenças respiratórias","IGNORADO","40 - 79","F",1
"709","RJ","Outras doenças respiratórias","OUTRO","40 - 79","F",1
"710","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",29
"711","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",31
"712","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","F",1
"713","RJ","Outras doenças respiratórias","DOMICILIO","40 - 79","M",1
"714","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","F",23
"715","RJ","Outras doenças respiratórias","HOSPITAL","40 - 79","M",51
"716","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",7
"717","RJ","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",20
"718","DF","Outras doenças","DOMICILIO","40 - 79","F",24
"719","DF","Outras doenças","DOMICILIO","40 - 79","M",65
"720","DF","Outras doenças","HOSPITAL","40 - 79","F",142
"721","DF","Outras doenças","HOSPITAL","40 - 79","M",217
"722","DF","Outras doenças","OUTRO","40 - 79","F",7
"723","DF","Outras doenças","OUTRO","40 - 79","M",17
"724","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",6
"725","DF","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",7
"726","DF","Outras doenças","VIA_PUBLICA","40 - 79","F",3
"727","DF","Outras doenças","VIA_PUBLICA","40 - 79","M",6
"728","DF","COVID-19","DOMICILIO","40 - 79","M",2
"729","DF","COVID-19","HOSPITAL","40 - 79","F",38
"730","DF","COVID-19","HOSPITAL","40 - 79","M",80
"731","DF","COVID-19","OUTRO","40 - 79","F",2
"732","DF","COVID-19","OUTRO","40 - 79","M",1
"733","DF","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","F",1
"734","DF","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","M",4
"735","DF","Outras doenças","HOSPITAL","40 - 79","F",2
"736","DF","Outras doenças","HOSPITAL","40 - 79","M",4
"737","DF","Outras doenças","OUTRO","40 - 79","F",1
"738","DF","Outras doenças","VIA_PUBLICA","40 - 79","M",1
"739","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","F",3
"740","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","M",11
"741","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","F",17
"742","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","M",40
"743","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",2
"744","DF","Outras doenças respiratórias","VIA_PUBLICA","40 - 79","M",1
"745","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","F",1
"746","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","M",5
"747","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","F",43
"748","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","M",77
"749","DF","Outras doenças respiratórias","OUTRO","40 - 79","F",1
"750","DF","Outras doenças respiratórias","OUTRO","40 - 79","M",1
"751","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",2
"752","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",2
"753","DF","Outras doenças respiratórias","DOMICILIO","40 - 79","M",2
"754","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","F",49
"755","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","M",53
"756","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",1
"757","DF","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",1
"758","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","F",4
"759","DF","Outras doenças respiratórias","HOSPITAL","40 - 79","M",1
"760","MG","Outras doenças","DOMICILIO","40 - 79","F",375
"761","MG","Outras doenças","DOMICILIO","40 - 79","M",801
"762","MG","Outras doenças","HOSPITAL","40 - 79","F",934
"764","MG","Outras doenças","HOSPITAL","40 - 79","M",1302
"765","MG","Outras doenças","IGNORADO","40 - 79","F",18
"766","MG","Outras doenças","IGNORADO","40 - 79","M",47
"767","MG","Outras doenças","OUTRO","40 - 79","F",31
"768","MG","Outras doenças","OUTRO","40 - 79","M",105
"769","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",111
"770","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",193
"771","MG","Outras doenças","VIA_PUBLICA","40 - 79","F",18
"772","MG","Outras doenças","VIA_PUBLICA","40 - 79","M",75
"773","MG","COVID-19","DOMICILIO","40 - 79","F",2
"774","MG","COVID-19","DOMICILIO","40 - 79","M",2
"775","MG","COVID-19","HOSPITAL","40 - 79","F",49
"776","MG","COVID-19","HOSPITAL","40 - 79","M",111
"777","MG","COVID-19","IGNORADO","40 - 79","F",1
"778","MG","COVID-19","IGNORADO","40 - 79","M",1
"779","MG","COVID-19","OUTRO","40 - 79","F",2
"780","MG","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","F",2
"781","MG","COVID-19","OUTROS_SERVICOS_SAUDE","40 - 79","M",15
"782","MG","Outras doenças","DOMICILIO","40 - 79","F",19
"783","MG","Outras doenças","DOMICILIO","40 - 79","M",48
"784","MG","Outras doenças","HOSPITAL","40 - 79","F",10
"785","MG","Outras doenças","HOSPITAL","40 - 79","M",13
"786","MG","Outras doenças","IGNORADO","40 - 79","F",1
"787","MG","Outras doenças","IGNORADO","40 - 79","M",7
"788","MG","Outras doenças","OUTRO","40 - 79","F",1
"789","MG","Outras doenças","OUTRO","40 - 79","M",9
"790","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","F",1
"791","MG","Outras doenças","OUTROS_SERVICOS_SAUDE","40 - 79","M",3
"792","MG","Outras doenças","VIA_PUBLICA","40 - 79","M",2
"793","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","F",33
"794","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","M",35
"795","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","F",178
"796","MG","Outras doenças respiratórias","HOSPITAL","40 - 79","M",203
"797","MG","Outras doenças respiratórias","IGNORADO","40 - 79","F",3
"798","MG","Outras doenças respiratórias","IGNORADO","40 - 79","M",8
"799","MG","Outras doenças respiratórias","OUTRO","40 - 79","F",1
"800","MG","Outras doenças respiratórias","OUTRO","40 - 79","M",3
"801","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","F",14
"802","MG","Outras doenças respiratórias","OUTROS_SERVICOS_SAUDE","40 - 79","M",27
"803","MG","Outras doenças respiratórias","VIA_PUBLICA","40 - 79","F",1
"804","MG","Outras doenças respiratórias","VIA_PUBLICA","40 - 79","M",6
"805","MG","Outras doenças respiratórias","DOMICILIO","40 - 79","F",7
